model,subset,E_MAE,E_RMSE,E_MAPE_percent,v_MAE,v_MAPE_percent
RandomForest,source,0.023571610565108612,0.05309717392625859,0.3791857163227982,163001.88077905515,0.1906203271088001
LightGBM,source,0.045300279483219075,0.057860871221365115,0.9125266861297976,530043.1722243223,0.45630324718103865
XGBoost,source,0.04680547812178328,0.06359886033676605,0.941713221836936,623494.7108698236,0.4709356252010572
CatBoost,source,0.05478834069676857,0.06956276251866632,1.0775176686516283,627369.2302596773,0.5385596521061493
KNN,source,0.1043366573101492,0.1667879109577897,2.0949385604079938,1419876.6732777208,1.044981503709658
MLP,source,0.18684347080888133,0.2628256882323656,3.823875237743995,2567244.3973567495,1.9178445679253715
PowerLaw,source,0.24477251739945077,0.30933318635519835,4.513598559050186,2266039.2512043607,2.293910887017141
Poly2Ridge,source,0.2873695135349259,0.409806422337443,5.410403511216986,3599266.575052177,2.7158725227142817
LightGBM,target,0.13425279950576277,0.22166651041501423,9.603500031884657,1318878.3352582862,4.541106112103162
XGBoost,target,0.14534399822196142,0.241961903875345,10.270919559047268,1425105.409301314,4.824136249919968
RandomForest,target,0.14656796197410996,0.22999477293209478,8.974961263610853,1308964.2015792262,4.204387854388229
KNN,target,0.18277661243423854,0.3195226820305336,13.336963709189376,1775045.1685919361,6.196373640550077
CatBoost,target,0.18948004082367198,0.3019937497084093,13.541181506785483,1848117.210240775,6.375453054202443
MLP,target,0.2710242606802202,0.44815825480168625,20.966766955700862,2704218.828337171,9.43858957645035
Poly2Ridge,target,0.48873692035918054,0.6792949181106969,31.486690296964447,4582230.614346151,14.632006030410055
PowerLaw,target,0.7934934523636814,1.0881133279012263,41.77371992494498,6636909.813200161,19.233976324924694
