I_MA,tr_ns,liner_r_cm,foam_r_cm,m_mg_per_cm,E_MJ_per_cm,v_cm_per_s
40,150,4,0.5,2.05,3.1024,-173980000
40,150,4,0.6,2.1,2.8203,-163890000
40,150,4,0.7,2.2,2.5826,-153220000
40,150,4,0.8,2.3,2.3773,-143780000
40,150,5,0.5,1.25,3.4494,-234930000
40,150,5,0.6,1.3,3.1656,-220680000
40,150,5,0.7,1.35,2.9267,-208230000
40,150,5,0.8,1.4,2.7203,-197130000
40,150,6,0.5,0.85,3.7339,-296410000
40,150,6,0.6,0.9,3.4486,-276830000
40,150,6,0.7,0.9,3.2096,-267060000
40,150,6,0.8,0.9,3.0019,-258280000
40,150,7,0.5,0.6,3.9744,-363980000
40,150,7,0.6,0.65,3.6886,-336890000
40,150,7,0.7,0.65,3.4493,-325780000
40,150,7,0.8,0.65,3.2414,-315810000
40,175,4,0.5,2.8,3.1026,-148870000
40,175,4,0.6,2.9,2.8204,-139470000
40,175,4,0.7,3,2.5826,-131210000
40,175,4,0.8,3.15,2.3774,-122860000
40,175,5,0.5,1.7,3.4495,-201450000
40,175,5,0.6,1.75,3.1661,-190220000
40,175,5,0.7,1.8,2.927,-180340000
40,175,5,0.8,1.85,2.7206,-171500000
40,175,6,0.5,1.15,3.7335,-254810000
40,175,6,0.6,1.2,3.4495,-239770000
40,175,6,0.7,1.25,3.2094,-226610000
40,175,6,0.8,1.25,3.0026,-219180000
40,175,7,0.5,0.85,3.975,-305830000
40,175,7,0.6,0.85,3.6897,-294650000
40,175,7,0.7,0.9,3.4488,-276840000
40,175,7,0.8,0.9,3.2418,-268400000
40,200,4,0.5,3.65,3.1029,-130390000
40,200,4,0.6,3.8,2.8206,-121840000
40,200,4,0.7,3.9,2.5827,-115080000
40,200,4,0.8,4.1,2.3776,-107690000
40,200,5,0.5,2.25,3.4495,-175110000
40,200,5,0.6,2.3,3.1662,-165930000
40,200,5,0.7,2.4,2.9269,-156180000
40,200,5,0.8,2.45,2.7207,-149030000
40,200,6,0.5,1.5,3.7339,-223130000
40,200,6,0.6,1.55,3.4495,-210970000
40,200,6,0.7,1.6,3.2098,-200300000
40,200,6,0.8,1.65,3.0025,-190770000
40,200,7,0.5,1.1,3.9749,-268830000
40,200,7,0.6,1.1,3.6898,-259010000
40,200,7,0.7,1.15,3.4496,-244940000
40,200,7,0.8,1.15,3.2416,-237440000
40,225,4,0.5,4.6,3.103,-116150000
40,225,4,0.6,4.8,2.8207,-108410000
40,225,4,0.7,4.95,2.5828,-102150000
40,225,4,0.8,5.2,2.3776,-95628000
40,225,5,0.5,2.85,3.4497,-155590000
40,225,5,0.6,2.9,3.1662,-147770000
40,225,5,0.7,3,2.9273,-139700000
40,225,5,0.8,3.1,2.7209,-132490000
40,225,6,0.5,1.9,3.7341,-198260000
40,225,6,0.6,2,3.4496,-185730000
40,225,6,0.7,2.05,3.2098,-176960000
40,225,6,0.8,2.05,3.0026,-171150000
